first,second,groupauthor,secondauthor,grouptheme,secondtheme,cosine
11,49,1,2,1,2,0.301278419
11,50,1,2,1,2,0.309187504
11,51,1,2,1,2,0.141363623
11,52,1,2,1,2,0.364544976
11,53,1,2,1,2,0.35764447
11,54,1,2,1,2,0.415591766
11,55,1,2,1,2,0.440159554
11,56,1,3,1,2,0.349547107
11,57,1,3,1,2,0.386058654
11,58,1,3,1,2,0.199948457
11,59,1,3,1,2,0.073538903
11,60,1,3,1,2,0.236123847
11,61,1,3,1,2,0.176774246
11,62,1,3,1,2,0.370646229
11,63,1,3,1,2,0.170551768
11,64,1,3,1,2,0.234383255
11,65,1,3,1,2,0.468915147
11,66,1,3,1,2,0.347116995
12,13,1,1,1,1,0.418513417
12,14,1,1,1,1,0.329139995
12,15,1,1,1,1,0.14617883
12,16,1,1,1,1,0.28522429
12,17,1,1,1,1,0.619760824
12,18,1,1,1,1,0.398528771
12,19,1,1,1,1,0.287695128
12,20,1,1,1,1,0.378012397
12,21,1,1,1,1,0.407889259
12,22,1,1,1,1,0.353748511
12,23,1,1,1,1,0.390762061
12,24,1,1,1,1,0.585206209
12,25,1,1,1,1,0.689881192
12,26,1,1,1,1,0.708112776
12,27,1,1,1,1,0.623525585
12,28,1,1,1,1,0.109249283
12,29,1,1,1,1,0.273808514
12,30,1,1,1,1,0.389104691
12,31,1,1,1,1,0.708260217
12,32,1,1,1,1,0.296105211
12,33,1,1,1,1,0.458045017
12,34,1,1,1,1,0.38932471
12,35,1,1,1,1,0.512631343
12,36,1,1,1,1,0.296504245
12,37,1,1,1,1,0.302082088
12,38,1,1,1,1,0.522192512
12,39,1,1,1,1,0.570116858
12,40,1,2,1,2,0.284012181
12,41,1,2,1,2,0.55107783
12,42,1,2,1,2,0.730142367
12,43,1,2,1,2,0.654081701
12,44,1,2,1,2,0.323782638
12,45,1,2,1,2,0.738388468
12,46,1,2,1,2,0.510190581
12,47,1,2,1,2,0.303478726
12,48,1,2,1,2,0.740015988
12,49,1,2,1,2,0.715457222
12,50,1,2,1,2,0.3903377
12,51,1,2,1,2,0.453579124
12,52,1,2,1,2,0.722842587
12,53,1,2,1,2,0.152568769
12,54,1,2,1,2,0.523064283
12,55,1,2,1,2,0.650787096
12,56,1,3,1,2,0.59646404
12,57,1,3,1,2,0.31679649
12,58,1,3,1,2,0.678591814
12,59,1,3,1,2,0.400030727
12,60,1,3,1,2,0.722506025
12,61,1,3,1,2,0.496074288
12,62,1,3,1,2,0.799237031
12,63,1,3,1,2,0.472781729
12,64,1,3,1,2,0.624699874
12,65,1,3,1,2,0.334533352
12,66,1,3,1,2,0.31065051
13,14,1,1,1,1,0.271588251
13,15,1,1,1,1,0.308045868
13,16,1,1,1,1,0.398123696
13,17,1,1,1,1,0.636646725
13,18,1,1,1,1,0.577064048
13,19,1,1,1,1,0.121436481
13,20,1,1,1,1,0.278525238
13,21,1,1,1,1,0.241435731
13,22,1,1,1,1,-0.007737829
13,23,1,1,1,1,0.714567777
13,24,1,1,1,1,0.46284509
13,25,1,1,1,1,0.651638585
13,26,1,1,1,1,0.483315664
13,27,1,1,1,1,0.661894387
13,28,1,1,1,1,0.094213866
13,29,1,1,1,1,0.004283078
13,30,1,1,1,1,0.213224952
13,31,1,1,1,1,0.380841714
13,32,1,1,1,1,0.225067845
13,33,1,1,1,1,0.215159257
13,34,1,1,1,1,0.86616747
13,35,1,1,1,1,0.442023733
13,36,1,1,1,1,-0.086825607
13,37,1,1,1,1,0.192644021
13,38,1,1,1,1,0.387381468
13,39,1,1,1,1,0.383176967
13,40,1,2,1,2,0.164149505
13,41,1,2,1,2,-0.01354178
13,42,1,2,1,2,0.357817421
13,43,1,2,1,2,0.305095931
13,44,1,2,1,2,0.084933801
13,45,1,2,1,2,0.311452719
13,46,1,2,1,2,0.264849119
13,47,1,2,1,2,0.220562774
13,48,1,2,1,2,0.380914173
13,49,1,2,1,2,0.383104032
13,50,1,2,1,2,0.149543097
13,51,1,2,1,2,0.233416971
13,52,1,2,1,2,0.403936204
13,53,1,2,1,2,0.236148076
13,54,1,2,1,2,0.366257427
13,55,1,2,1,2,0.381789477
13,56,1,3,1,2,0.269702504
13,57,1,3,1,2,0.200443404
13,58,1,3,1,2,0.122882615
13,59,1,3,1,2,-0.171435758
13,60,1,3,1,2,0.368911481
13,61,1,3,1,2,0.159960361
13,62,1,3,1,2,0.417831862
13,63,1,3,1,2,0.093100511
13,64,1,3,1,2,0.186059394
13,65,1,3,1,2,0.451602266
13,66,1,3,1,2,0.509507786
